Code,No. of faecal pellets,Treatment,Replicate,Date,Day,Individual
2F,1,Sterile,6,15/11/2019,11,16
2G,0,Sterile,7,15/11/2019,11,17
2H,0,Sterile,8,15/11/2019,11,18
2I,0,Sterile,9,15/11/2019,11,19
2J,0,Sterile,10,15/11/2019,11,20
3A,NA,Undiluted,1,15/11/2019,11,21
3B,1,Undiluted,2,15/11/2019,11,22
3C,0,Undiluted,3,15/11/2019,11,23
3D,1,Undiluted,4,15/11/2019,11,24
3E,1,Undiluted,5,15/11/2019,11,25
3F,1,Undiluted,6,15/11/2019,11,26
3G,1,Undiluted,7,15/11/2019,11,27
3H,0,Undiluted,8,15/11/2019,11,28
3I,1,Undiluted,9,15/11/2019,11,29
3J,0,Undiluted,10,15/11/2019,11,30
4A,0,2X Diluted,1,15/11/2019,11,31
4B,2,2X Diluted,2,15/11/2019,11,32
4C,1,2X Diluted,3,15/11/2019,11,33
4D,4,2X Diluted,4,15/11/2019,11,34
4E,3,2X Diluted,5,15/11/2019,11,35
4F,2,2X Diluted,6,15/11/2019,11,36
4G,1,2X Diluted,7,15/11/2019,11,37
4H,1,2X Diluted,8,15/11/2019,11,38
4I,0,2X Diluted,9,15/11/2019,11,39
4J,3,2X Diluted,10,15/11/2019,11,40
1A,8,Control,1,16/11/2019,12,1
1B,10,Control,2,16/11/2019,12,2
1C,8,Control,3,16/11/2019,12,3
1D,10,Control,4,16/11/2019,12,4
1E,16,Control,5,16/11/2019,12,5
1F,7,Control,6,16/11/2019,12,6
1G,8,Control,7,16/11/2019,12,7
1H,8,Control,8,16/11/2019,12,8
1I,4,Control,9,16/11/2019,12,9
1J,5,Control,10,16/11/2019,12,10
2A,2,Sterile,1,16/11/2019,12,11
2B,2,Sterile,2,16/11/2019,12,12
2C,1,Sterile,3,16/11/2019,12,13
2D,0,Sterile,4,16/11/2019,12,14
2E,1,Sterile,5,16/11/2019,12,15
2F,1,Sterile,6,16/11/2019,12,16
2G,1,Sterile,7,16/11/2019,12,17
2H,0,Sterile,8,16/11/2019,12,18
2I,NA,Sterile,9,16/11/2019,12,19
2J,1,Sterile,10,16/11/2019,12,20
3A,NA,Undiluted,1,16/11/2019,12,21
3B,1,Undiluted,2,16/11/2019,12,22
3C,1,Undiluted,3,16/11/2019,12,23
3D,2,Undiluted,4,16/11/2019,12,24
3E,1,Undiluted,5,16/11/2019,12,25
3F,1,Undiluted,6,16/11/2019,12,26
3G,0,Undiluted,7,16/11/2019,12,27
3H,0,Undiluted,8,16/11/2019,12,28
3I,1,Undiluted,9,16/11/2019,12,29
3J,1,Undiluted,10,16/11/2019,12,30
4A,1,2X Diluted,1,16/11/2019,12,31
4B,1,2X Diluted,2,16/11/2019,12,32
4C,0,2X Diluted,3,16/11/2019,12,33
4D,3,2X Diluted,4,16/11/2019,12,34
4E,4,2X Diluted,5,16/11/2019,12,35
4F,1,2X Diluted,6,16/11/2019,12,36
4G,1,2X Diluted,7,16/11/2019,12,37
4H,0,2X Diluted,8,16/11/2019,12,38
4I,1,2X Diluted,9,16/11/2019,12,39
4J,1,2X Diluted,10,16/11/2019,12,40
1A,12,Control,1,17/11/2019,13,1
1B,13,Control,2,17/11/2019,13,2
1C,19,Control,3,17/11/2019,13,3
1D,14,Control,4,17/11/2019,13,4
1E,19,Control,5,17/11/2019,13,5
1F,10,Control,6,17/11/2019,13,6
1G,13,Control,7,17/11/2019,13,7
1H,17,Control,8,17/11/2019,13,8
1I,8,Control,9,17/11/2019,13,9
1J,16,Control,10,17/11/2019,13,10
2A,3,Sterile,1,17/11/2019,13,11
2B,2,Sterile,2,17/11/2019,13,12
2C,1,Sterile,3,17/11/2019,13,13
2D,2,Sterile,4,17/11/2019,13,14
2E,1,Sterile,5,17/11/2019,13,15
2F,2,Sterile,6,17/11/2019,13,16
2G,3,Sterile,7,17/11/2019,13,17
2H,2,Sterile,8,17/11/2019,13,18
2I,NA,Sterile,9,17/11/2019,13,19
2J,2,Sterile,10,17/11/2019,13,20
3A,NA,Undiluted,1,17/11/2019,13,21
3B,1,Undiluted,2,17/11/2019,13,22
3C,4,Undiluted,3,17/11/2019,13,23
3D,2,Undiluted,4,17/11/2019,13,24
3E,1,Undiluted,5,17/11/2019,13,25
3F,1,Undiluted,6,17/11/2019,13,26
3G,0,Undiluted,7,17/11/2019,13,27
3H,1,Undiluted,8,17/11/2019,13,28
3I,2,Undiluted,9,17/11/2019,13,29
3J,1,Undiluted,10,17/11/2019,13,30
4A,0,2X Diluted,1,17/11/2019,13,31
4B,1,2X Diluted,2,17/11/2019,13,32
4C,3,2X Diluted,3,17/11/2019,13,33
4D,2,2X Diluted,4,17/11/2019,13,34
4E,3,2X Diluted,5,17/11/2019,13,35
4F,4,2X Diluted,6,17/11/2019,13,36
4G,2,2X Diluted,7,17/11/2019,13,37
4H,1,2X Diluted,8,17/11/2019,13,38
4I,1,2X Diluted,9,17/11/2019,13,39
