Code,No. of colonies per pellet,Treatment,Replicate,Date,Day,Individual,Number of Faeces,Total colonies
1A,199600,Control,1,9/12/19,35,1,5,998000
1B,193200,Control,2,9/12/19,35,2,6,1159200
1C,181200,Control,3,9/12/19,35,3,2,362400
1D,211200,Control,4,9/12/19,35,4,5,1056000
1E,138000,Control,5,9/12/19,35,5,2,276000
1F,164000,Control,6,9/12/19,35,6,2,328000
1G,164000,Control,7,9/12/19,35,7,1,164000
1H,140000,Control,8,9/12/19,35,8,2,280000
1I,124400,Control,9,9/12/19,35,9,1,124400
1J,127600,Control,10,9/12/19,35,10,3,382800
2A,NA,Sterile,1,9/12/19,35,11,NA,NA
2B,NA,Sterile,2,9/12/19,35,12,NA,NA
2C,NA,Sterile,3,9/12/19,35,13,NA,NA
2D,38000,Sterile,4,9/12/19,35,14,1,38000
2E,NA,Sterile,5,9/12/19,35,15,NA,NA
2F,56800,Sterile,6,9/12/19,35,16,1,56800
2G,56800,Sterile,7,9/12/19,35,17,1,56800
2H,NA,Sterile,8,9/12/19,35,18,NA,NA
2I,NA,Sterile,9,9/12/19,35,19,NA,NA
2J,NA,Sterile,10,9/12/19,35,20,NA,NA
3A,NA,Undiluted,1,9/12/19,35,21,NA,NA
3B,NA,Undiluted,2,9/12/19,35,22,NA,NA
3C,NA,Undiluted,3,9/12/19,35,23,NA,NA
3D,NA,Undiluted,4,9/12/19,35,24,NA,NA
3E,NA,Undiluted,5,9/12/19,35,25,NA,NA
3F,18400,Undiluted,6,9/12/19,35,26,1,18400
3G,NA,Undiluted,7,9/12/19,35,27,NA,NA
3H,NA,Undiluted,8,9/12/19,35,28,NA,NA
3I,NA,Undiluted,9,9/12/19,35,29,NA,NA
3J,NA,Undiluted,10,9/12/19,35,30,NA,NA
4A,26400,2X Diluted,1,9/12/19,35,31,4,105600
4B,NA,2X Diluted,2,9/12/19,35,32,NA,NA
4C,NA,2X Diluted,3,9/12/19,35,33,NA,NA
4D,43600,2X Diluted,4,9/12/19,35,34,1,43600
4E,NA,2X Diluted,5,9/12/19,35,35,NA,NA
4F,NA,2X Diluted,6,9/12/19,35,36,NA,NA
4G,NA,2X Diluted,7,9/12/19,35,37,NA,NA
4H,NA,2X Diluted,8,9/12/19,35,38,NA,NA
4I,NA,2X Diluted,9,9/12/19,35,39,NA,NA
4J,NA,2X Diluted,10,9/12/19,35,40,NA,NA
