taxon,lfc_(Intercept),lfc_TreatmentSterile feed,lfc_TreatmentAntibiotics (2X),lfc_TreatmentAntibiotics (1X),se_(Intercept),se_TreatmentSterile feed,se_TreatmentAntibiotics (2X),se_TreatmentAntibiotics (1X),W_(Intercept),W_TreatmentSterile feed,W_TreatmentAntibiotics (2X),W_TreatmentAntibiotics (1X),p_(Intercept),p_TreatmentSterile feed,p_TreatmentAntibiotics (2X),p_TreatmentAntibiotics (1X),q_(Intercept),q_TreatmentSterile feed,q_TreatmentAntibiotics (2X),q_TreatmentAntibiotics (1X),diff_(Intercept),diff_TreatmentSterile feed,diff_TreatmentAntibiotics (2X),diff_TreatmentAntibiotics (1X),passed_ss_(Intercept),passed_ss_TreatmentSterile feed,passed_ss_TreatmentAntibiotics (2X),passed_ss_TreatmentAntibiotics (1X)
Bacteria_Proteobacteria_Gammaproteobacteria_Burkholderiales_Comamonadaceae_NA,0.49761482618369257,-1.6999017922344686,0.41019505138814394,-1.8638228248970377,0.36057083605743784,0.8165469487302893,0.6327370964032974,1.1240363914728593,1.3800750821245678,-2.0818175793538565,0.6482867113684948,-1.6581516746578049,0.21678231410094392,0.08252702725893885,0.5408001282239677,0.1483603889800531,0.36092043373766586,0.157194337636074,0.6978066170631841,0.3746472301763615,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Rhizobiaceae_Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.6362365476307125,-0.5263059550740642,-0.401946528365688,-1.8514282580423942,0.5160878632842095,0.7465782920804819,0.8573733933084321,1.0615277305811703,1.2328066457171016,-0.7049574849108095,-0.4688115254132822,-1.7441167147171608,0.2526443036163661,0.5008422867574931,0.6517141287456014,0.11929547676808092,0.36092043373766586,0.621940684387565,0.761722525510134,0.34074416969069315,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Rs-E47_termite_group_NA,-1.4053866026465713,2.5699370891782003,0.8592692168812675,1.678915925050403,0.405998063992363,0.7038662900632151,0.804307621907855,0.7472120549247775,-3.4615598626918755,3.6511722829450903,1.0683340471684715,2.2469069041176284,0.013441639972265539,0.010691364850425345,0.32645572353736213,0.06572001909424861,0.055903468945775144,0.03887769036518307,0.5934007599809521,0.2503619775018995,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_NA_NA,-0.24402972883441962,-0.70259649882590125,1.7200414913781972,-0.7050222272580409,0.6094946469357121,0.8034060834592057,0.8273789190561686,1.2307444395344715,-0.40038043001903384,-0.8745222538031439,2.0789041777138006,-0.5728420983357968,0.7008140838736957,0.4108321246937813,0.07620833354262672,0.5846741470917229,0.8009303815699379,0.5387962291065983,0.2540277784754224,0.7195989502667359,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Actinobacteriota_Thermoleophilia_Solirubrobacterales_67-14_NA,1.2855191397229373,-4.770236856623534,0.29747867651704984,-0.6514466226512294,0.32447812127623543,1.1519370323871252,0.5203265074804784,0.6497295759589955,3.961805297277798,-4.1410569523390635,0.571715398389944,-1.0026427097607487,0.005449074541972394,0.004343417214922712,0.5853966797624479,0.3494254519366905,0.02724537270986197,0.026192335673583967,0.7217349315388902,0.580283945022707,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Bacteria_Actinobacteriota_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptacidiphilus,-0.38060947213887814,-0.26204444960890927,1.854181787701787,-1.0765387803802053,0.3730611402113311,1.20672476812839,0.6740227370782071,0.6789168240255392,-1.020233498249834,-0.21715345249384072,2.750918753482118,-1.5856710900122113,0.34697895695482045,0.8352846358545042,0.03325125736663949,0.16390816320215815,0.4550543697768137,0.8792469851100043,0.17734003928874392,0.3746472301763615,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium,0.8667788748858842,-3.519130781900076,0.7650273866330074,-0.9263573433065602,0.34300966604501887,1.3595944363839556,0.5269802319491131,0.7323812460337711,2.5269809008009774,-2.5883680366181325,1.4517193250369984,-1.2648567236303108,0.03940640922094365,0.036030332295912716,0.18987830118276652,0.24640239690932028,0.11258974063126757,0.09253162198755437,0.44677247337121534,0.46933789887489574,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Dysgonomonadaceae_Candidatus_Symbiothrix,-1.4897355976476072,3.0888620910651947,0.6395299387544865,1.6518823144152646,0.5948000389285351,1.1331997819850417,0.8437381484835845,0.8573846026595742,-2.5045990251298527,2.7257877562016404,0.7579720555528834,1.9266526472381111,0.046239683911365626,0.03437762540019924,0.4771725813397705,0.1023179778809009,0.11559920977841406,0.09253162198755437,0.6697159036347655,0.3148245473258489,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Nocardiaceae_Rhodococcus,-0.6375330944994007,-0.9251631702103716,1.543774593137179,1.3368088438707804,0.37108323467916304,0.7804988139968019,0.5911323822093405,0.8394457683906841,-1.7180326000192625,-1.185348591976416,2.6115547711451117,1.5924898238913034,0.13659520502139744,0.28069335772896853,0.040036864898958975,0.16238165882890057,0.24835491822072261,0.4016185128872592,0.20018432449479487,0.3746472301763615,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_Enterobacteriaceae_NA,-1.1263896361369319,1.0804307803704274,2.607363825336596,0.5830293878814067,0.28266953286716545,0.44015531986494805,0.5594508114742126,0.707499197497008,-3.9848285901624028,2.4546580073187205,4.660577430330137,0.8240707409196352,0.004034366201435402,0.03964766754634935,0.0016222327923255857,0.43377865731247567,0.023053521151059443,0.09328862952082201,0.04629259702536088,0.608812150614001,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Microbacteriaceae_NA,0.057931143221248656,-0.7667561269031836,0.31959358153909756,-0.5417206039117649,1.0275929793808611,1.138629176533888,1.1342018327088985,1.177255256543292,0.05637557319256206,-0.6734028450221812,0.2817784033868015,-0.4601556042335189,0.9568730903299907,0.5257660155643633,0.7875798656649744,0.6616086337350636,0.9703385567362566,0.6361876557795734,0.8489680088179301,0.7561241528400726,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacterales_NA_NA,-1.8482179188759515,3.6647245979327843,1.4863885942767316,2.041961151431753,0.797725258693914,1.3933824258162693,1.410441760020092,1.075980385761352,-2.3168602206503657,2.6300924498785183,1.053846132757412,1.897768006232645,0.05364195411465038,0.03390805695680092,0.3269643173198177,0.09953215575738542,0.12261018083348657,0.09253162198755437,0.5934007599809521,0.3148245473258489,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Dysgonomonadaceae_NA,-2.2946595134312986,3.9201933022881215,2.8176349121440727,2.2060752883336985,0.8775698403585939,0.9864217879279035,0.9744047845854701,1.6610401327517215,-2.614788485089291,3.9741552247370313,2.8916472463163725,1.328128830143952,0.03089958544962301,0.004095044714184987,0.020148173985959122,0.22077515117976707,0.09155432725814225,0.026192335673583967,0.14653217444333907,0.44155030235953413,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales_Xanthomonadaceae_Xanthomonas,-0.13143342898243499,0.4071174628809992,0.7836306187672011,-0.8997489166777595,0.20089009573670327,0.8040044273538598,0.46631451071142466,0.5496932560135469,-0.6542553952221631,0.5063622152192676,1.6804765898699325,-1.6368200024916908,0.5313013610770176,0.626259292200706,0.13137404763675517,0.14030441964510884,0.6430687550011502,0.6958436580007844,0.38925643744223754,0.3741451190536236,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
Bacteria_Verrucomicrobiota_Verrucomicrobiae_Opitutales_Puniceicoccaceae_Cerasicoccus,-1.6588004075695595,2.780781872386757,1.1185109828224546,2.607268211207239,0.4685171137731601,0.9434775242322438,0.6875835576884141,0.7575476482011644,-3.5405332245188674,2.9473747926847773,1.6267273559925934,3.4417217417258583,0.012211020888820189,0.025700369866959418,0.1549195354013557,0.013771865278221355,0.05427120395031195,0.07907806112910591,0.41311876107028184,0.1224165802508565,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
