ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_5191	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter
Seq_5195	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium
Seq_5196	Bacteria	Bacillota	Clostridia	Unclassified	Unclassified	Unclassified
Seq_5197	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_5198	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	Unclassified
Seq_5204	Bacteria	Cyanobacteriota	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae	Unclassified
Seq_5205	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5206	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia
Seq_5207	Bacteria	Bacillota	Clostridia	Clostridia UCG-014	Unclassified	Unclassified
Seq_5208	Bacteria	Chloroflexi	KD4-96	Unclassified	Unclassified	Unclassified
Seq_5209	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_5212	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Unclassified
Seq_5213	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Demequinaceae	Unclassified
Seq_5214	Bacteria	Desulfobacterota	Desulfarculia	Desulfarculales	Unclassified	Unclassified
Seq_5215	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_5216	Bacteria	Bacillota	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea
Seq_5218	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Seq_5219	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_5221	Bacteria	Bacillota	Clostridia	Unclassified	Unclassified	Unclassified
Seq_5222	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Seq_5224	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter
Seq_5225	Bacteria	Bacillota	Clostridia	Oscillospirales	Unclassified	Unclassified
Seq_5228	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group	Unclassified	Unclassified
Seq_5230	Bacteria	Bacillota	Clostridia	Unclassified	Unclassified	Unclassified
Seq_5236	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage
Seq_5238	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosporobacter
Seq_5240	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	Unclassified	Unclassified
Seq_5242	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5243	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Unclassified
Seq_5244	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	Unclassified	Unclassified
Seq_5245	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Unclassified
Seq_5246	Bacteria	Bacillota	Clostridia	Unclassified	Unclassified	Unclassified
Seq_5247	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
Seq_5250	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella
Seq_5252	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_5254	Bacteria	Bacillota	Clostridia	Unclassified	Unclassified	Unclassified
Seq_5255	Bacteria	Bacillota	Clostridia	Clostridia vadinBB60 group	Unclassified	Unclassified
Seq_5259	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium
Seq_5265	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas
Seq_5267	Bacteria	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Unclassified
Seq_5268	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia
Seq_5270	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Niveibacterium
Seq_5271	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Victivallaceae	Unclassified
Seq_5272	Bacteria	Bacillota	Clostridia	Unclassified	Unclassified	Unclassified
Seq_5273	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
Seq_5275	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Seq_5276	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_5277	Bacteria	Bacillota	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	Unclassified
Seq_5289	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_5290	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_5291	Bacteria	Bacillota	Clostridia	Unclassified	Unclassified	Unclassified
Seq_5293	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Papillibacter
Seq_5294	Bacteria	Bacillota	Clostridia	Unclassified	Unclassified	Unclassified
Seq_5296	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Unclassified	Unclassified
Seq_5297	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_5298	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas
Seq_5299	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Unclassified	Unclassified
Seq_5300	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified
Seq_5301	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus
Seq_5302	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
Seq_5304	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Unclassified
Seq_5306	Bacteria	Bacillota	Clostridia	Unclassified	Unclassified	Unclassified
Seq_5307	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5308	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Unclassified	Unclassified
Seq_5309	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia
Seq_5310	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
Seq_5311	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus
Seq_5313	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5318	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_5320	Bacteria	Chloroflexi	KD4-96	Unclassified	Unclassified	Unclassified
Seq_5321	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Unclassified
