ASV	Kingdom	Phylum	Class	Order	Family	Genus
Seq_12475	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Intestinimonas
Seq_12476	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	Unclassified	Unclassified
Seq_12477	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	Unclassified
Seq_12478	Bacteria	Firmicutes	Bacilli	RF39	Unclassified	Unclassified
Seq_12479	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	Unclassified	Unclassified
Seq_12480	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Unclassified
Seq_12481	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Robinsoniella
Seq_12482	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
Seq_12483	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Seq_12484	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Unclassified
Seq_12485	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_12486	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	Unclassified	Unclassified
Seq_12487	Bacteria	Firmicutes	Clostridia	Oscillospirales	Unclassified	Unclassified
Seq_12488	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Unclassified
Seq_12489	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
Seq_12490	Bacteria	Firmicutes	Bacilli	RF39	Unclassified	Unclassified
Seq_12491	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Unclassified
Seq_12492	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus
Seq_12493	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	Unclassified	Unclassified
Seq_12494	Bacteria	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium
Seq_12495	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Humibacter
Seq_12496	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
Seq_12497	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
Seq_12498	Bacteria	Firmicutes	Clostridia	Oscillospirales	Unclassified	Unclassified
Seq_12499	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Unclassified
Seq_12500	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
Seq_12501	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	Unclassified	Unclassified
Seq_12502	Bacteria	Firmicutes	Syntrophomonadia	Syntrophomonadales	Syntrophomonadaceae	Syntrophomonas
Seq_12503	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Candidatus Soleaferrea
Seq_12504	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Unclassified
Seq_12505	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Unclassified
Seq_12506	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes
Seq_12507	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus
Seq_12508	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified
Seq_12509	Bacteria	Firmicutes	Clostridia	Unclassified	Unclassified	Unclassified
Seq_12510	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	Unclassified	Unclassified
Seq_12511	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
Seq_12512	Bacteria	Firmicutes	Clostridia	Hungateiclostridiaceae	Unclassified	Unclassified
Seq_12513	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
Seq_12514	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter
Seq_12515	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium
Seq_12516	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Aridibacter
Seq_12517	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Unclassified
Seq_12518	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia
Seq_12519	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Unclassified	Unclassified
Seq_12520	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella
